Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
AI Analysis Token  AIAT,"US$ 0,5359",US$ 182.599,US$ 59.126.408,US$ 267.909.748
AI Companions  AIC,"US$ 0,195",US$ 6.330.401,US$ 193.790.315,US$ 193.790.315
AI Rig Complex  ARC,"US$ 0,06769",US$ 17.210.431,US$ 67.772.223,US$ 67.772.223
ai16z  AI16Z,"US$ 0,2393",US$ 125.953.775,US$ 262.912.182,US$ 262.912.182
AIntivirus  AINTI,"US$ 0,02503",US$ 3.979.927,US$ 25.040.149,US$ 25.040.149
AIOZ Network  AIOZ,"US$ 0,4327",US$ 40.494.132,US$ 507.382.725,US$ 507.425.910
AirSwap  AST,"US$ 0,06293",US$ 2.426.996,US$ 13.074.383,US$ 31.478.767
aixbt by Virtuals  AIXBT,"US$ 0,1557",US$ 168.273.770,US$ 132.971.338,US$ 155.410.659
aixCB by Virtuals  AIXCB,"US$ 0,00733",US$ 136.107,US$ 7.268.923,US$ 7.268.923
Akash Network  AKT,"US$ 1,30",US$ 12.068.299,US$ 321.637.593,US$ 322.736.116
Aki Network  AKI,"US$ 0,01113",US$ 1.372.275,US$ 18.778.830,US$ 22.267.937
Akio  AKIO,"US$ 0,02205",US$ 131.332,US$ 21.737.375,US$ 22.047.707
Alchemist AI  ALCH,"US$ 0,1583",US$ 70.861.695,US$ 134.765.357,US$ 158.545.241
Alchemix  ALCX,"US$ 9,87",US$ 3.669.961,US$ 23.697.432,US$ 29.887.399
Alchemix USD  ALUSD,"US$ 0,9813",US$ 139.163,US$ 15.438.313,US$ 15.438.319
Alchemy Pay  ACH,"US$ 0,03004",US$ 52.011.613,US$ 148.373.671,US$ 300.127.311
ALEO  ALEO,"US$ 0,2346",US$ 8.013.827,US$ 85.267.365,US$ 400.002.479
Aleph Zero  AZERO,"US$ 0,1369",US$ 660.287,US$ 41.377.007,US$ 71.171.179
Aleph.im  ALEPH,"US$ 0,06445",US$ 329.044,US$ 12.015.456,US$ 32.224.778
Alephium  ALPH,"US$ 0,3295",US$ 363.157,US$ 36.029.242,US$ 69.212.980
ALEX Lab  ALEX,"US$ 0,04482",US$ 346.257,US$ 37.221.261,US$ 44.814.880
Algorand  ALGO,"US$ 0,2288",US$ 70.603.860,US$ 1.964.277.007,US$ 1.964.334.978
Alien Base  ALB,"US$ 0,06726","US$ 93.659,14",US$ 11.335.777,US$ 26.266.774
Alien Worlds  TLM,"US$ 0,00613",US$ 11.524.763,US$ 35.513.247,US$ 40.942.839
Alkimi  $ADS,"US$ 0,1231",US$ 583.261,US$ 23.753.472,US$ 30.910.625
All Will Retire  AWR,"US$ 0,006822",US$ 1.192.197,US$ 6.574.780,US$ 6.813.325
Alpaca Finance  ALPACA,"US$ 0,3049",US$ 348.152.174,US$ 45.922.634,US$ 45.922.634
Alpha Fi  ALPHA,"US$ 1,66","US$ 90.181,01",US$ 14.893.931,US$ 16.633.516
Alpha Quark  AQT,"US$ 1,24",US$ 5.574.547,US$ 33.340.130,US$ 37.312.407
Alpine F1 Team Fan Token  ALPINE,"US$ 0,8354",US$ 1.137.475,US$ 9.492.773,US$ 33.425.257
alright buddy  BUDDY,"US$ 0,01269",US$ 448.072,US$ 12.707.350,US$ 12.707.350
Altered State Machine  ASTO,"US$ 0,01123",US$ 358.543,US$ 9.135.089,US$ 26.682.446
AltLayer  ALT,"US$ 0,03275",US$ 17.761.674,US$ 107.145.443,US$ 327.300.462
Altura  ALU,"US$ 0,03235",US$ 9.454.695,US$ 32.030.641,US$ 32.030.641
AMATERASU OMIKAMI  OMIKAMI,"US$ 0,01483",US$ 117.901,US$ 14.827.991,US$ 14.827.991
Ambire Wallet  WALLET,"US$ 0,01077",US$ 537.297,US$ 7.421.346,US$ 7.465.665
American Coin  USA,"US$ 0,051383",US$ 1.162.944,US$ 16.079.109,US$ 16.079.109
Amnis Aptos  AMAPT,"US$ 5,61",US$ 337.575,US$ 141.281.925,US$ 141.311.854
Amnis Staked Aptos Coin  STAPT,"US$ 6,36","US$ 27.451,64",US$ 12.822.316,US$ 12.822.316
AMO Coin  AMO,"US$ 0,000625",US$ 772.057,US$ 13.249.507,US$ 13.249.507
Amp  AMP,"US$ 0,004181",US$ 11.506.026,US$ 352.128.260,US$ 416.666.065
Ampleforth  AMPL,"US$ 1,25",US$ 110.757,US$ 39.649.359,US$ 45.153.570
Ampleforth Governance  FORTH,"US$ 2,80",US$ 9.592.922,US$ 32.074.538,US$ 42.837.726
Ancient8  A8,"US$ 0,144",US$ 8.934.469,US$ 41.443.939,US$ 143.974.950
ANDY ETH  ANDY,"US$ 0,00006837",US$ 2.081.796,US$ 68.365.701,US$ 68.365.701
Animecoin  ANIME,"US$ 0,01927",US$ 16.043.653,US$ 106.685.648,US$ 192.621.888
Ankr Network  ANKR,"US$ 0,02109",US$ 47.431.260,US$ 210.766.978,US$ 210.766.978
Ankr Staked ETH  ANKRETH,"US$ 2.171,13",US$ 113.995,US$ 23.017.455,US$ 23.017.455
Anvil  ANVL,"US$ 0,002107","US$ 5.919,80",US$ 39.914.095,US$ 207.897.733
ANyONe Protocol  ANYONE,"US$ 0,3798",US$ 206.470,US$ 30.356.322,US$ 37.974.980
Anzen USDz  USDZ,"US$ 0,9684","US$ 30.516,54",US$ 123.202.353,US$ 123.202.353
ao Computer  AO,"US$ 14,06",US$ 2.751.267,US$ 53.730.159,US$ 53.730.159
ApeCoin  APE,"US$ 0,5523",US$ 41.438.648,US$ 441.211.186,US$ 551.889.618
APENFT  NFT,"US$ 0,064278",US$ 18.377.111,US$ 423.354.680,US$ 427.581.069
ApeX  APEX,"US$ 0,9068",US$ 27.854.594,US$ 50.623.989,US$ 453.396.326
APF coin  APFC,"US$ 0,6946",US$ 2.030.315,US$ 118.301.191,US$ 173.697.812
Api3  API3,"US$ 0,8339",US$ 23.700.878,US$ 99.997.429,US$ 123.383.310
Apollo Diversified Credit Securitize Fund  ACRED,"US$ 1.018,32","$0,00",US$ 66.902.107,US$ 66.902.107
Aptos  APT,"US$ 5,62",US$ 124.859.692,US$ 3.478.536.081,US$ 6.459.234.791
Apu Apustaja  APU,"US$ 0,0002053",US$ 1.878.634,US$ 69.509.404,US$ 69.509.404
APX  APX,"US$ 0,05834",US$ 774.395,US$ 25.368.003,US$ 234.440.720
Aquarius  AQUA,"US$ 0,0007468",US$ 111.816,US$ 25.166.618,US$ 74.636.888
Aragon  ANT,"US$ 0,4397","US$ 1.011,34",US$ 17.605.426,US$ 18.991.799
Araracoin  ARARA,"US$ 0,0002957",US$ 141.645,US$ 10.715.437,US$ 29.559.826
ArbDoge AI  AIDOGE,"US$ 0,091596",US$ 15.850.603,US$ 30.118.790,US$ 30.118.790
Arbitrum  ARB,"US$ 0,3527",US$ 119.341.067,US$ 1.677.291.795,US$ 3.526.170.118
Arbitrum Bridged USDC (Arbitrum)  USDC.E,"US$ 1,00",US$ 34.757.188,US$ 109.941.116,US$ 109.941.116
Arbitrum Bridged WBTC (Arbitrum One)  WBTC,"US$ 94.571,29",US$ 64.827.896,US$ 751.725.258,US$ 751.725.301
Arbitrum Bridged WETH (Arbitrum One)  WETH,"US$ 1.818,09",US$ 253.313.186,US$ 365.870.329,US$ 365.870.329
Arc  ARC,"US$ 0,007315","US$ 72.041,25",US$ 7.095.794,US$ 7.278.706
Arcblock  ABT,"US$ 0,9114",US$ 579.571,US$ 89.845.742,US$ 169.520.269
Ardor  ARDR,"US$ 0,1258",US$ 136.283.288,US$ 125.654.184,US$ 125.654.184
ARK  ARK,"US$ 0,4643",US$ 11.244.299,US$ 86.222.962,US$ 87.402.307
Arkham  ARKM,"US$ 0,6311",US$ 140.566.837,US$ 255.828.218,US$ 630.355.599
ARPA  ARPA,"US$ 0,03039",US$ 63.488.690,US$ 29.822.961,US$ 60.728.430
Artificial Liquid Intelligence  ALI,"US$ 0,006545",US$ 1.008.059,US$ 53.612.651,US$ 64.617.347
Artificial Superintelligence Alliance  FET,"US$ 0,7797",US$ 210.310.743,US$ 2.032.125.219,US$ 2.117.573.150
Artrade  ATR,"US$ 0,01512",US$ 719.542,US$ 19.007.041,US$ 19.065.734
Arweave  AR,"US$ 7,26",US$ 29.860.506,US$ 474.937.211,US$ 474.937.211
AS Roma Fan Token  ASR,"US$ 1,14",US$ 2.340.103,US$ 7.967.953,US$ 11.388.621
AscendEx  ASD,"US$ 0,02323",US$ 1.241.244,US$ 17.252.541,US$ 17.252.541
Assemble AI  ASM,"US$ 0,02601",US$ 6.599.686,US$ 39.016.743,US$ 39.016.743
Astar  ASTR,"US$ 0,02992",US$ 7.724.543,US$ 228.830.291,US$ 251.506.821
Aster Staked BNB  ASBNB,"US$ 624,40","US$ 13.855,18",US$ 120.511.281,US$ 120.511.342
Aster Staked USDF  ASUSDF,"US$ 1,01",US$ 209.880,US$ 29.162.822,US$ 29.162.822
Aster USDF  USDF,"US$ 0,9996",US$ 578.536,US$ 129.081.056,US$ 129.080.987
AstraAI  ASTRA,"US$ 1,02",US$ 130.234,US$ 10.197.438,US$ 10.197.438
Asymmetry Finance  ASF,"US$ 1,18","US$ 41.070,39",US$ 11.504.969,US$ 59.895.802
Atletico Madrid Fan Token  ATM,"US$ 1,14",US$ 1.745.809,US$ 7.537.574,US$ 11.387.103
Audius  AUDIO,"US$ 0,07849",US$ 14.536.427,US$ 103.438.973,US$ 103.438.973
Augur  REP,"US$ 0,9428","US$ 69.900,01",US$ 7.592.754,US$ 7.592.754
AUKI  AUKI,"US$ 0,02715",US$ 205.545,US$ 49.080.336,US$ 271.411.282
Aura BAL  AURABAL,"US$ 3,46","US$ 299,32",US$ 12.670.684,US$ 12.670.684
Aura Finance  AURA,"US$ 0,1863","US$ 14.983,67",US$ 9.249.445,US$ 14.832.163
Aurora  AURORA,"US$ 0,09675",US$ 1.675.659,US$ 57.737.285,US$ 96.731.641
Aurory  AURY,"US$ 0,1137","US$ 12.123,48",US$ 8.344.221,US$ 11.374.587
AUSD  AUSD,"US$ 0,9992",US$ 4.122.933,US$ 9.694.987,US$ 9.694.987
Austin Capitals  AUX,"US$ 4,25",US$ 127.982,US$ 41.604.407,US$ 41.604.407
Automata  ATA,"US$ 0,06328",US$ 8.005.147,US$ 37.157.238,US$ 63.214.940
Autonolas  OLAS,"US$ 0,2806",US$ 326.483,US$ 49.314.391,US$ 131.044.345
Autonomi  ANT,"US$ 0,1125",US$ 747.318,US$ 52.223.761,US$ 135.070.352
AVA (Travala)  AVA,"US$ 0,6294",US$ 5.970.965,US$ 42.617.442,US$ 42.617.442
Ava AI  AVA,"US$ 0,04972",US$ 18.040.602,US$ 49.632.647,US$ 49.632.647
Avail  AVAIL,"US$ 0,03396",US$ 6.266.283,US$ 69.953.150,US$ 352.595.297
Avalanche  AVAX,"US$ 22,41",US$ 297.538.750,US$ 9.325.030.558,US$ 10.146.804.457
Avalanche Bridged BTC (Avalanche)  BTC.B,"US$ 94.456,02",US$ 32.648.565,US$ 481.821.512,US$ 481.826.052
Avalanche Bridged DAI (Avalanche)  DAI,"US$ 0,9996","US$ 41.768,18",US$ 12.806.428,US$ 12.806.428
Avalanche Bridged USDC (Avalanche)  USDC.E,"US$ 0,998",US$ 4.672.360,US$ 45.978.585,US$ 45.978.585
Avalanche Bridged WBTC (Avalanche)  WBTC,"US$ 94.594,78",US$ 590.275,US$ 43.694.103,US$ 43.694.103
Avalanche Bridged WETH (Avalanche)  WETH,"US$ 1.818,68",US$ 28.376.770,US$ 39.361.136,US$ 39.361.136
Avalaunch  XAVA,"US$ 0,26",US$ 193.333,US$ 10.331.507,US$ 26.003.500
Avalon  AVL,"US$ 0,2507",US$ 24.970.066,US$ 45.706.048,US$ 250.787.641
Avant Staked USD  SAVUSD,"US$ 1,03",US$ 167.091,US$ 37.654.490,US$ 37.654.490
Avant USD  AVUSD,"US$ 0,9985",US$ 399.192,US$ 43.026.168,US$ 43.026.168
Aventus  AVT,"US$ 1,70","US$ 56.516,27",US$ 16.254.839,US$ 18.045.399
AXEL  AXEL,"US$ 0,05488","US$ 3.596,58",US$ 8.211.212,US$ 59.623.295
Axelar  AXL,"US$ 0,375",US$ 8.716.692,US$ 353.743.538,US$ 448.622.940
Axie Infinity  AXS,"US$ 2,65",US$ 37.341.264,US$ 425.458.803,US$ 714.548.547
AxonDAO Governance Token  AXGT,"US$ 0,1247",US$ 308.235,US$ 54.436.061,US$ 124.675.702
B3 (Base)  B3,"US$ 0,004864",US$ 8.988.333,US$ 106.197.508,US$ 486.306.362
Baby Doge Coin  BABYDOGE,"US$ 0,081452",US$ 30.325.264,US$ 240.092.108,US$ 609.428.633
BabyBoomToken  BBT,"US$ 0,1531",US$ 104.068,US$ 25.440.588,US$ 153.059.271
Babylon  BABY,"US$ 0,08094",US$ 78.849.937,US$ 185.728.056,US$ 810.878.425
Bad Idea AI  BAD,"US$ 0,071179",US$ 1.248.052,US$ 7.600.687,US$ 9.782.708
Badger  BADGER,"US$ 1,02",US$ 25.368.781,US$ 20.312.293,US$ 21.402.098
BakerySwap  BAKE,"US$ 0,1387",US$ 5.418.022,US$ 40.037.525,US$ 40.185.270
Balance  EPT,"US$ 0,01034",US$ 32.051.253,US$ 23.889.188,US$ 103.122.509
Balancer  BAL,"US$ 0,9946",US$ 5.038.867,US$ 62.821.354,US$ 67.762.936
Banana For Scale  BANANAS31,"US$ 0,004729",US$ 11.668.545,US$ 47.236.600,US$ 47.236.600
Banana Gun  BANANA,"US$ 21,11",US$ 45.079.937,US$ 73.561.119,US$ 178.338.229
Bancor Network  BNT,"US$ 0,4555",US$ 192.044,US$ 52.443.874,US$ 52.443.874
Band Protocol  BAND,"US$ 0,8644",US$ 7.591.452,US$ 134.788.137,US$ 138.414.468
BankrCoin  BNKR,"US$ 0,0002056",US$ 10.776.164,US$ 20.546.094,US$ 20.546.094
Base God  TYBG,"US$ 0,00007444","US$ 99.630,27",US$ 9.262.069,US$ 9.262.069
Based ETH  BSDETH,"US$ 1.865,58","US$ 92.256,23",US$ 8.679.115,US$ 8.679.115
Based Fartcoin  FARTCOIN,"US$ 0,0003682",US$ 688.378,US$ 36.812.637,US$ 36.812.637
Based Pepe  PEPE,"US$ 0,075244",US$ 851.948,US$ 22.061.513,US$ 22.061.513
BasedAI  BASEDAI,"US$ 0,6416",US$ 149.243,US$ 22.885.649,US$ 22.885.649
Basenji  BENJI,"US$ 0,02",US$ 2.341.951,US$ 19.970.269,US$ 19.970.269
Basic Attention  BAT,"US$ 0,1521",US$ 16.657.010,US$ 227.532.423,US$ 228.191.385
BBAChain  BBA,"US$ 0,1791",US$ 309.567,US$ 27.100.145,US$ 53.034.860
BBQCOIN  BBQ,"US$ 0,01828",US$ 866.302,US$ 9.073.842,US$ 9.073.842
BCGame Coin  BC,"US$ 0,004203","US$ 6.858,84",US$ 42.020.386,US$ 42.020.377
Beam  BEAM,"US$ 0,007599",US$ 38.168.454,US$ 398.883.006,US$ 450.528.201
Bedrock  BR,"US$ 0,05558",US$ 16.573.698,US$ 11.676.534,US$ 55.602.542
Bedrock BTC  BRBTC,"US$ 80.155,01","US$ 0,00",US$ 14.513.636,US$ 14.513.636
Beefy  BIFI,"US$ 183,08",US$ 207.378,US$ 14.663.771,US$ 14.663.771
Beethoven X (Legacy)  BEETS-LEGACY,"US$ 0,04579","US$ 3.608,05",US$ 10.708.292,US$ 11.005.569
BeethovenX sFTMX  SFTMX,"US$ 0,623","US$ 3.861,71",US$ 12.344.484,US$ 12.344.484
Beets  BEETS,"US$ 0,04642",US$ 6.809.182,US$ 7.613.948,US$ 11.321.599
Beets Staked Sonic  STS,"US$ 0,5483",US$ 12.615.884,US$ 119.381.388,US$ 119.381.849
Beincom  BIC,"US$ 0,01717","US$ 3.514,86",US$ 28.024.079,US$ 85.861.667
Beldex  BDX,"US$ 0,06724",US$ 3.337.391,US$ 480.823.928,US$ 668.464.531
Bella Protocol  BEL,"US$ 0,4202",US$ 17.840.261,US$ 33.612.455,US$ 42.015.569
Bellscoin  BELLS,"US$ 0,2145",US$ 389.349,US$ 12.962.090,US$ 12.962.230
bemo Staked TON  STTON,"US$ 3,56","US$ 5.612,87",US$ 12.974.869,US$ 12.974.869
BENQI  QI,"US$ 0,00896",US$ 2.122.721,US$ 59.596.581,US$ 64.493.618
BENQI Liquid Staked AVAX  SAVAX,"US$ 26,92",US$ 1.616.988,US$ 230.280.723,US$ 230.282.098
Beny Bad Boy  BBB,"US$ 0,004778","US$ 25.422,74",US$ 11.402.456,US$ 11.402.456
Berachain  BERA,"US$ 3,75",US$ 62.182.297,US$ 408.961.454,US$ 1.879.632.246
Berachain Staked ETH  BERAETH,"US$ 1.820,12","US$ 97.698,23",US$ 55.371.736,US$ 55.371.736
Bertram The Pomeranian  BERT,"US$ 0,01616",US$ 1.168.209,US$ 15.876.242,US$ 15.876.242
BFG Token  BFG,"US$ 0,01649","US$ 96.612,63",US$ 12.077.958,US$ 54.678.080
Biconomy  BICO,"US$ 0,1408",US$ 12.113.710,US$ 133.202.570,US$ 140.707.107
Bifrost  BFC,"US$ 0,03046",US$ 751.758,US$ 42.313.208,US$ 72.036.625
Bifrost  BNC,"US$ 0,1445",US$ 4.223.039,US$ 6.395.784,US$ 11.549.512
Big Dog Fink  BINK,"US$ 0,0002613","US$ 2.425,07",US$ 38.913.305,US$ 38.913.305
Big Time  BIGTIME,"US$ 0,08064",US$ 65.687.694,US$ 148.384.173,US$ 403.046.431
BiLira  TRYB,"US$ 0,02602","US$ 27.015,61",US$ 8.223.978,US$ 8.223.978
BILLION•DOLLAR•CAT (Bitcoin)  BDC,"US$ 0,01997",US$ 126.649,US$ 19.972.254,US$ 19.972.254
Billy Bets by Virtuals  $BILLY,"US$ 0,008611","US$ 53.698,72",US$ 8.471.487,US$ 8.471.487
BIM  BIM,"US$ 1,13","US$ 75.186,62",US$ 33.839.842,US$ 33.839.842
Binance Bridged USDC (BNB Smart Chain)  USDC,"US$ 1,00",US$ 25.474.594,US$ 899.007.716,US$ 899.007.716
Binance Bridged USDT (BNB Smart Chain)  BSC-USD,"US$ 1,00",US$ 139.118.973,US$ 5.189.335.499,US$ 5.189.335.499
Binance Staked SOL  BNSOL,"US$ 156,07",US$ 1.380.435,US$ 1.230.220.159,US$ 1.230.220.159
Binance-Peg Avalanche  AVAX,"US$ 22,35","US$ 67.411,90",US$ 44.684.052,US$ 44.684.052
Binance-Peg BUSD  BUSD,"US$ 1,00",US$ 2.740.981,US$ 323.886.573,US$ 323.886.573
Binance-Peg DAI  DAI,"US$ 1,00",US$ 355.850,US$ 36.015.262,US$ 36.015.262
Binance-Peg Dogecoin  DOGE,"US$ 0,1815",US$ 1.492.584,US$ 465.447.353,US$ 465.447.353
Binance-Peg EOS  EOS,"US$ 0,6773",US$ 210.676,US$ 43.268.804,US$ 43.268.804
Binance-Peg SOL  SOL,"US$ 149,03",US$ 1.657.357,US$ 164.015.443,US$ 164.015.443
Binance-Peg WETH  WETH,"US$ 1.819,42",US$ 24.687.523,US$ 1.100.322.821,US$ 1.100.322.821
Bio Protocol  BIO,"US$ 0,07751",US$ 28.461.962,US$ 127.822.454,US$ 256.920.226
Biswap  BSW,"US$ 0,03313",US$ 28.966.703,US$ 16.532.300,US$ 19.113.966
Bit2Me  B2M,"US$ 0,01244","US$ 48.042,09",US$ 61.807.307,US$ 62.431.623
Bitcoin  BTC,"US$ 94.660,91",US$ 15.205.906.584,US$ 1.879.613.187.486,US$ 1.879.614.702.039
Bitcoin Cash  BCH,"US$ 356,24",US$ 183.788.537,US$ 7.076.486.658,US$ 7.076.488.885
Bitcoin Diamond  BCD,"US$ 0,03715","US$ 23.120,11",US$ 6.989.493,US$ 6.989.493
Bitcoin Gold  BTG,"US$ 0,9021",US$ 168.692,US$ 15.799.375,US$ 15.799.375
Bitcoin SV  BSV,"US$ 41,48",US$ 200.500.445,US$ 823.567.099,US$ 823.567.617
Bitcoin USD (BTCFi)  BTCUSD,"US$ 1,00","US$ 14.664,60",US$ 8.530.857,US$ 8.530.857
Bitcoin Wizards  WZRD,"US$ 2,07",US$ 142.873,US$ 43.449.715,US$ 43.449.715
BitDCA  BDCA,"US$ 0,8368",US$ 286.339,US$ 111.202.550,US$ 119.380.269
Bitgert  BRISE,"US$ 0,076406",US$ 3.486.891,US$ 25.358.725,US$ 27.369.496
Bitget Staked SOL  BGSOL,"US$ 160,16",US$ 1.666.520,US$ 13.949.297,US$ 13.949.297
Bitget Token  BGB,"US$ 4,42",US$ 38.733.938,US$ 5.176.252.699,US$ 5.176.252.699
BitMart  BMX,"US$ 0,2555",US$ 4.348.492,US$ 86.689.700,US$ 163.313.119
BitMEX  BMEX,"US$ 0,2901","US$ 73.229,18",US$ 28.933.558,US$ 130.527.328
Bitrue Coin  BTR,"US$ 0,0341",US$ 771.159,US$ 11.263.308,US$ 27.376.042
bitsCrunch Token  BCUT,"US$ 0,02186",US$ 1.495.851,US$ 10.147.402,US$ 21.846.752
Bittensor  TAO,"US$ 349,43",US$ 97.468.260,US$ 3.028.104.749,US$ 7.338.005.271
BitTorrent  BTT,"US$ 0,067621",US$ 115.314.481,US$ 752.650.566,US$ 755.657.056
Bityuan  BTY,"US$ 0,02286",US$ 228.848,US$ 15.442.649,US$ 15.442.777
BlackRock USD Institutional Digital Liquidity Fund  BUIDL,US$ 1,"$0,00",US$ 2.556.558.554,US$ 2.556.558.554
Blast  BLAST,"US$ 0,003276",US$ 9.267.455,US$ 91.713.097,US$ 327.450.386
Blockasset  BLOCK,"US$ 0,07421",US$ 257.457,US$ 14.728.078,US$ 23.680.608
BLOCKLORDS  LRDS,"US$ 0,1589",US$ 1.179.063,US$ 10.632.348,US$ 15.891.114
Blocksquare  BST,"US$ 0,1087",US$ 271.792,US$ 6.422.250,US$ 6.422.250
BLOCKv  VEE,"US$ 0,02578",US$ 110.735,US$ 93.995.089,US$ 93.995.089
Bloktopia  BLOK,"US$ 0,000339",US$ 196.596,US$ 8.443.220,US$ 39.640.948
Blood Crystal  BC,"US$ 0,01009","US$ 20.788,30",US$ 8.523.917,US$ 8.523.917
BLUB  BLUB,"US$ 0,072937",US$ 333.726,US$ 9.826.140,US$ 12.356.731
Bluefin  BLUE,"US$ 0,1059",US$ 7.557.447,US$ 31.066.049,US$ 105.909.402
Blur  BLUR,"US$ 0,1149",US$ 29.419.351,US$ 265.240.938,US$ 344.716.146
Bluzelle  BLZ,"US$ 0,03675",US$ 1.994.134,US$ 17.040.384,US$ 18.378.979
BNB  BNB,"US$ 607,47",US$ 621.445.412,US$ 88.601.960.320,US$ 88.601.960.320
BOB  BOB,"US$ 0,708","US$ 56.704,37",US$ 14.879.074,US$ 14.879.074
Boba Network  BOBA,"US$ 0,08239",US$ 4.150.270,US$ 37.097.671,US$ 41.185.819
Boba Oppa  BOBAOPPA,"US$ 0,0008976","US$ 60.871,41",US$ 17.752.563,US$ 17.752.563
BOBO Coin  BOBO,"US$ 0,06384",US$ 1.403.789,US$ 25.496.029,US$ 25.528.185
Bone ShibaSwap  BONE,"US$ 0,3052",US$ 3.651.041,US$ 76.273.093,US$ 76.305.041
BONGO CAT  BONGO,"US$ 0,009937",US$ 840.102,US$ 9.934.402,US$ 9.934.402
Bonk  BONK,"US$ 0,00001854",US$ 504.083.246,US$ 1.435.846.489,US$ 1.647.506.479
Book of Ethereum  BOOE,"US$ 0,1531",US$ 184.009,US$ 15.310.521,US$ 15.310.521
BOOK OF MEME  BOME,"US$ 0,001674",US$ 61.825.767,US$ 115.425.532,US$ 115.425.532
BORA  BORA,"US$ 0,0905",US$ 1.919.738,US$ 104.384.213,US$ 109.183.487
Boson Protocol  BOSON,"US$ 0,1222",US$ 954.556,US$ 18.091.956,US$ 24.439.444
BOTIFY  BOTIFY,"US$ 0,009345",US$ 1.177.596,US$ 9.356.976,US$ 9.356.976
Botto  BOTTO,"US$ 0,2147","US$ 87.139,15",US$ 9.248.565,US$ 20.947.511
Bounce  AUCTION,"US$ 12,67",US$ 23.387.083,US$ 83.392.068,US$ 96.686.763
BounceBit  BB,"US$ 0,1379",US$ 14.644.098,US$ 56.477.211,US$ 289.626.725
Bread  BREAD,"US$ 3,97","US$ 81.217,76",US$ 14.910.479,US$ 14.910.479
Brett  BRETT,"US$ 0,06825",US$ 74.996.955,US$ 675.439.136,US$ 675.439.136
Brett (ETH)  BRETT,"US$ 0,1378",US$ 1.162.162,US$ 9.460.168,US$ 9.460.168
Brickken  BKN,"US$ 0,1571",US$ 401.139,US$ 11.212.638,US$ 22.452.535
